2017-09-07 10:21:08 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-09-07 10:24:01 - [INFO] --> Logowanie użytkownika: [mprzybylski]
2017-09-07 10:24:30 - [INFO] --> Logowanie użytkownika: [rstawieraj]
2017-09-07 10:25:38 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Rafał Stawieraj], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [390]
2017-09-07 10:25:38 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [137826], ID urządzenia: [149], Serwisant: [rstawieraj]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137747], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [4626], Nr automatu: [5704]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137748], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [4629], Nr automatu: [5731]
2017-09-07 10:30:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137749], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [4635], Nr automatu: [5737]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137751], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2486], Nr automatu: [5037]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137752], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2803], Nr automatu: [5245]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137758], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [5421], Nr automatu: [5367]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137760], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [7349], Nr automatu: [5455]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137761], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [8053], Nr automatu: [5612]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137762], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [8091], Nr automatu: [5650]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137763], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [8095], Nr automatu: [5654]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137765], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [8142], Nr automatu: [5700]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137766], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [8322], Nr automatu: [5529]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137767], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2224], Nr automatu: [5111]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137768], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2393], Nr automatu: [5352]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137769], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2482], Nr automatu: [5033]
2017-09-07 10:30:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137770], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [2558], Nr automatu: [5203]
2017-09-07 10:33:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137206], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [], Nr automatu: [545]
2017-09-07 10:33:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137412], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [], Nr automatu: [522]
2017-09-07 10:33:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [137470], przez uzytkownika: [mprzybylski], Nr boczny pojazdu: [], Nr automatu: [548]
