2017-03-08 14:01:06 - [INFO] --> Logowanie użytkownika: [dgasiewski]
2017-03-08 14:02:13 - [INFO] --> Logowanie użytkownika: [znowak]
2017-03-08 14:03:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [39411], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [517]
2017-03-08 14:03:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [39412], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [564]
2017-03-08 14:03:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [39009], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [525]
2017-03-08 14:03:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40640], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [575]
2017-03-08 14:03:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37494], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [550]
2017-03-08 14:04:17 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40847], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [509]
2017-03-08 14:08:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37551], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [575]
2017-03-08 14:08:13 - [ERROR] --> Nieudane logowanie użytkownika: [tkarabiniewicz]
2017-03-08 14:08:13 - [ERROR] --> Nieudane logowanie użytkownika: [tkarabiniewicz]
2017-03-08 14:08:32 - [INFO] --> Logowanie użytkownika: [tkarabiniewicz]
2017-03-08 14:14:35 - [INFO] --> Logowanie użytkownika: [dnowakowski]
2017-03-08 14:14:56 - [INFO] --> Logowanie użytkownika: [dnowakowski_s]
2017-03-08 14:15:34 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Dariusz Nowakowski- Serwisant], Urządzenie: [PAPIER Edmonson stacjonarne], Id urządzenia: [149], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [270]
2017-03-08 14:15:34 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [41346], ID urządzenia: [149], Serwisant: [dnowakowski_s]
2017-03-08 14:15:58 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Dariusz Nowakowski- Serwisant], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [270]
2017-03-08 14:15:58 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [41347], ID urządzenia: [128], Serwisant: [dnowakowski_s]
2017-03-08 14:16:26 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WAR/WYD/611/2017], ID dokumentu: [3062], Nazwa serisanta: [Dariusz Nowakowski- Serwisant], ID serwisanta: [40], Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [1]
2017-03-08 14:42:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [1]
2017-03-08 14:42:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-03-08 14:42:10 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-03-08 14:42:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-03-08 14:42:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-03-08 14:42:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2017-03-08 14:42:11 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/529/2017], ID dokumentu: [3066], Nazwa serisanta: [Łukasz Mazurowski], ID serwisanta: [9], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2017-03-08 14:44:07 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-03-08 14:44:07 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [CR (manualny)], ID urządzenia: [14], Ilość: [2]
2017-03-08 14:44:07 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [mifare], ID urządzenia: [26], Ilość: [1]
2017-03-08 14:44:07 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [modem], ID urządzenia: [27], Ilość: [2]
2017-03-08 14:44:07 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [przejściówka do modemu], ID urządzenia: [36], Ilość: [2]
2017-03-08 14:44:07 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [pinpad SB], ID urządzenia: [31], Ilość: [1]
2017-03-08 14:44:07 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [płytka do powerbox], ID urządzenia: [35], Ilość: [1]
2017-03-08 14:44:08 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [sortownik], ID urządzenia: [39], Ilość: [1]
2017-03-08 14:44:08 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-03-08 14:44:08 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-03-08 14:44:08 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [ZCGVA], ID urządzenia: [44], Ilość: [1]
2017-03-08 14:44:08 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
2017-03-08 14:44:08 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [płyta pod CM], ID urządzenia: [33], Ilość: [1]
2017-03-08 14:44:08 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/530/2017], ID dokumentu: [3067], Nazwa serisanta: [Mateusz Żerebecki], ID serwisanta: [44], Nazwa urządzenia: [płyta za ACM], ID urządzenia: [34], Ilość: [1]
2017-03-08 14:59:47 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Akumulator 12V 2,3 Ah], ID urządzenia: [58], Ilość: [2]
2017-03-08 14:59:47 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Antena dwupasmowa GSM/GPS], ID urządzenia: [59], Ilość: [1]
2017-03-08 14:59:47 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [CR manual mobilny], ID urządzenia: [61], Ilość: [2]
2017-03-08 14:59:47 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [zespół drukarki do BM101 (stelaż, mechanizm druk., sterownik)], ID urządzenia: [76], Ilość: [2]
2017-03-08 14:59:47 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Kabel PC - DRUKARKA], ID urządzenia: [122], Ilość: [2]
2017-03-08 14:59:47 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Kabel sygnałowy LVDS do wyświetlacza 10cali użytego w BM102], ID urządzenia: [101], Ilość: [1]
2017-03-08 14:59:47 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [kabel ZASILACZ - MAIN (4 żyły)], ID urządzenia: [64], Ilość: [2]
2017-03-08 14:59:47 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Kabel ZASILACZ - MAIN (14pin)], ID urządzenia: [123], Ilość: [2]
2017-03-08 14:59:47 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Kabel ZASILACZ - PC], ID urządzenia: [115], Ilość: [2]
2017-03-08 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Kabel ZASILACZ - MIFARE], ID urządzenia: [117], Ilość: [1]
2017-03-08 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [MAIN (WRDE 0141)], ID urządzenia: [66], Ilość: [2]
2017-03-08 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Pakiet terminala kart zbliżeniowych w standardzie MIFARE (GAMMA SAMIF)], ID urządzenia: [112], Ilość: [1]
2017-03-08 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [opóźniacz], ID urządzenia: [69], Ilość: [1]
2017-03-08 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Komputer PC 104 AMD GEODE 500 (EVOC:EC3-1641 CLDNA)], ID urządzenia: [65], Ilość: [1]
2017-03-08 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Sprężyna do koszyka w biletomacie BM 101], ID urządzenia: [134], Ilość: [30]
2017-03-08 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Papier mobilny], ID urządzenia: [129], Ilość: [24]
2017-03-08 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Uchwyt nagrzewnicy automatu BM 101], ID urządzenia: [133], Ilość: [5]
2017-03-08 14:59:48 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Wentylator 12 v 50x50], ID urządzenia: [73], Ilość: [4]
2017-03-08 14:59:49 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/531/2017], ID dokumentu: [3068], Nazwa serisanta: [Artur Buller], ID serwisanta: [6], Nazwa urządzenia: [Taśma do czytnika kart (CR - ARTEMA)], ID urządzenia: [121], Ilość: [1]
